Date,Open,High,Low,Close,Adj Close,Volume
2000-03-10,23.312500,23.312500,22.031250,22.750000,12.568476,14059200
2000-03-13,22.156250,22.156250,21.562500,21.875000,12.130399,15646400
2000-03-14,21.875000,22.156250,21.437500,21.656250,12.009101,11162000
2000-03-15,21.750000,23.906250,21.750000,23.781250,13.187477,22138200
2000-03-16,24.281250,24.937500,24.281250,24.875000,13.793993,17610200
2000-03-17,24.875000,24.968750,24.375000,24.562500,13.620705,14530800
2000-03-20,24.500000,24.500000,24.031250,24.281250,13.464748,6755200
2000-03-21,24.281250,24.843750,23.687500,24.718750,13.707353,8575800
2000-03-22,24.500000,24.500000,23.093750,23.531250,13.048845,11884200
2000-03-23,23.531250,24.187500,23.218750,23.500000,13.031519,10333800
2000-03-24,23.500000,23.593750,23.187500,23.500000,13.031519,8769200
2000-03-27,23.500000,23.562500,22.625000,22.625000,12.546301,10535400
2000-03-28,22.625000,23.250000,22.437500,22.437500,12.442323,13673000
2000-03-29,22.656250,23.531250,22.656250,23.437500,12.996857,16292600
2000-03-30,23.562500,24.968750,23.562500,24.281250,13.464748,18795200
2000-03-31,24.281250,24.343750,23.468750,23.468750,13.014187,8857000
2000-04-03,23.625000,24.968750,23.625000,24.656250,13.672694,14186800
2000-04-04,24.656250,26.187500,24.093750,26.187500,14.521822,27390200
2000-04-05,25.468750,25.468750,23.687500,23.812500,13.204811,20256600
2000-04-06,23.812500,23.968750,22.375000,22.875000,12.684933,20675000
2000-04-07,22.875000,23.218750,22.375000,23.093750,12.806239,12374000
2000-04-10,23.093750,23.593750,22.437500,22.500000,12.476984,12903000
2000-04-11,22.843750,23.875000,22.843750,23.593750,13.083502,12096400
2000-04-12,23.843750,24.968750,23.843750,24.250000,13.447408,15586400
2000-04-13,24.250000,24.312500,23.562500,23.625000,13.100836,8892800
2000-04-14,23.625000,23.781250,23.031250,23.500000,13.031519,9488200
2000-04-17,23.500000,24.312500,23.125000,24.250000,13.447408,10710200
2000-04-18,24.250000,24.562500,23.187500,24.312500,13.482074,13001000
2000-04-19,24.312500,24.843750,23.968750,24.593750,13.638033,10073200
2000-04-20,24.593750,24.718750,24.000000,24.718750,13.707353,8278600
2000-04-24,24.718750,25.218750,24.500000,24.812500,13.759338,9377600
2000-04-25,24.812500,25.250000,24.093750,25.250000,14.001948,8711600
2000-04-26,25.062500,25.062500,24.437500,24.718750,13.707353,9536200
2000-04-27,24.562500,24.562500,23.718750,24.125000,13.378101,9023200
2000-04-28,24.125000,24.187500,23.375000,23.625000,13.100836,7568800
2000-05-01,23.500000,23.500000,23.125000,23.125000,12.823566,7754000
2000-05-02,23.125000,23.781250,22.968750,23.125000,12.823566,9209400
2000-05-03,23.125000,24.406250,23.062500,24.250000,13.447408,14397400
2000-05-04,24.250000,24.593750,23.656250,24.250000,13.447408,6842400
2000-05-05,24.000000,24.000000,23.375000,23.531250,13.048845,5999200
2000-05-08,23.812500,24.250000,23.812500,24.250000,13.447408,6013000
2000-05-09,24.968750,25.625000,24.968750,25.250000,14.001948,22386000
2000-05-10,25.250000,26.500000,25.250000,26.406250,14.643126,21062000
2000-05-11,26.500000,26.906250,26.500000,26.781250,14.851079,15919400
2000-05-12,26.500000,26.500000,25.750000,26.125000,14.487160,7498200
2000-05-15,26.125000,26.375000,25.500000,25.875000,14.348537,8056600
2000-05-16,25.375000,25.375000,24.312500,24.468750,13.568720,16476600
2000-05-17,24.468750,24.593750,24.000000,24.125000,13.378101,8448600
2000-05-18,24.125000,24.937500,24.093750,24.718750,13.707353,8098600
